pkt arrive time in UTC,Lable,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605056867.17533,0,1.00031,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,26,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056867.40064,0,1.00020,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,29,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056867.43433,0,1.00037,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,30,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056867.81208,0,1.00029,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,28,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056868.17567,0,1.00034,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,27,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056868.40114,0,1.00050,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,30,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056868.43498,0,1.00065,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,31,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056868.81253,0,1.00045,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,29,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056869.17614,0,1.00047,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,28,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056869.40199,0,1.00085,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,31,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056869.43522,0,1.00024,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,32,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056869.81292,0,1.00039,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,30,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056870.17654,0,1.00040,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,29,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056870.40254,0,1.00055,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,32,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056870.43616,0,1.00094,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,33,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056870.81341,0,1.00049,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,31,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056871.17700,0,1.00046,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,30,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056871.40282,0,1.00028,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,33,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056871.43608,0,0.99992,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,34,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056871.81365,0,1.00024,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,32,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056872.17734,0,1.00034,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,31,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056872.40371,0,1.00089,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,34,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
